Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
4,4,1,2,0,7,1,1,1,5,3,2,2,1,B
3,8,2,3,1,5,1,1,3,4,4,2,1,1,Y
4,6,1,2,0,7,1,2,2,2,3,2,2,1,A
3,8,2,3,0,6,1,1,1,1,3,3,1,1,Q
4,8,2,2,0,2,2,1,1,5,3,1,1,1,O
4,5,2,1,0,1,1,1,2,4,3,1,1,1,O
3,8,2,2,2,4,1,1,1,3,2,1,1,1,J
4,3,0,1,0,1,1,2,4,1,3,2,2,1,P
4,3,1,1,0,8,1,1,2,3,3,2,2,1,2
3,6,0,1,0,1,1,2,5,6,3,3,1,3,Q
4,4,0,1,0,1,2,2,2,3,3,1,1,3,N
3,8,2,2,1,4,1,1,3,3,4,3,1,3,H
2,8,2,3,0,6,1,1,1,6,3,1,1,1,O
3,8,1,4,0,2,1,2,3,2,1,1,1,1,L
2,6,1,1,0,1,1,1,5,3,2,2,1,1,M
5,3,0,1,0,8,1,2,4,4,2,2,2,3,1
1,6,2,2,0,7,2,1,1,6,2,2,2,1,E
4,5,1,2,0,7,1,1,5,2,3,1,2,1,5
3,7,2,2,0,7,2,1,1,1,5,3,1,3,X
3,8,1,2,0,2,1,2,4,1,2,2,1,3,M
4,6,1,2,0,7,1,1,1,4,2,1,2,1,4
3,3,1,1,0,1,1,2,3,4,5,3,1,1,X
4,4,0,1,0,1,1,2,4,6,3,2,1,3,P
4,3,1,1,0,8,1,1,1,4,2,1,2,1,4
4,4,2,2,0,7,2,1,1,4,3,1,2,1,O
4,5,1,1,0,1,1,2,3,4,3,1,1,1,5
3,8,1,2,0,2,2,1,1,1,5,3,1,1,X
3,3,1,1,0,1,1,1,3,5,2,2,1,1,M
4,8,2,3,0,6,1,1,2,3,4,2,1,1,Y
4,7,1,2,0,7,1,1,2,3,2,2,2,1,M
4,4,1,1,0,8,2,1,1,5,3,3,2,1,Q
3,8,2,2,2,4,1,1,2,1,3,2,1,1,A
4,4,1,1,0,1,1,2,5,3,3,1,1,1,5
4,5,2,2,0,2,1,2,5,2,3,2,1,3,P
4,6,1,2,0,7,1,2,3,3,3,2,2,1,2
4,6,1,2,0,7,1,2,3,3,3,2,2,1,2
2,8,2,2,0,7,2,1,1,1,2,2,1,3,E
4,8,2,2,0,2,1,1,2,4,2,2,1,1,T
4,3,1,1,0,8,1,1,4,4,3,2,2,1,2
3,4,1,1,0,1,1,2,1,1,5,3,1,3,X
4,6,0,1,0,1,2,1,1,1,3,3,1,1,Q
3,8,2,2,2,4,1,1,2,2,3,2,1,1,P
4,8,1,3,0,6,1,1,2,5,3,2,1,3,B
4,5,1,1,1,3,1,2,3,3,3,1,1,3,N
3,8,2,2,0,2,2,1,1,1,5,3,1,1,X
4,1,2,2,0,7,1,1,2,3,1,1,2,1,U
4,3,1,1,0,8,1,1,1,6,2,1,2,1,4
4,6,2,3,0,7,1,1,1,4,2,1,2,1,J
3,2,1,2,0,2,1,2,5,3,3,1,2,1,O
