Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
3,5,1,1,1,3,1,5,2,3,3,1,1,4,N
3,8,2,1,0,1,2,3,5,1,2,4,1,2,K
3,8,2,2,0,2,2,3,1,6,3,1,3,1,O
5,4,1,1,0,8,1,5,3,4,3,2,2,2,2
3,6,1,2,0,7,1,5,3,5,2,2,5,2,1
4,7,2,2,0,7,2,2,1,6,3,3,5,2,G
3,6,0,1,0,1,1,6,7,1,2,2,1,2,M
3,7,1,1,0,1,1,2,4,6,2,2,1,4,M
4,8,2,2,0,2,1,3,3,2,2,3,3,2,D
3,6,1,1,0,1,1,3,4,5,3,2,1,1,P
3,8,2,3,0,6,1,3,2,6,2,2,3,1,V
4,7,0,2,0,2,1,6,4,1,2,2,1,4,M
3,8,2,2,0,2,1,5,3,4,4,3,3,1,H
1,8,1,2,0,7,1,3,2,3,3,2,5,2,2
5,5,1,1,0,8,1,2,2,2,3,2,2,2,A
3,8,2,3,0,6,1,3,2,6,2,2,3,1,V
5,3,0,1,0,8,1,5,4,3,4,2,2,4,Y
4,5,1,1,0,8,1,2,1,5,3,2,1,2,2
1,6,2,2,0,2,1,3,2,3,4,2,4,2,Y
4,3,1,2,0,2,1,6,3,4,3,1,1,4,N
4,7,2,2,0,7,1,1,1,4,2,2,5,1,1
3,5,1,1,0,8,1,3,4,5,1,1,2,4,L
3,8,1,3,0,6,1,2,1,3,2,1,3,1,J
4,5,2,1,0,1,1,2,1,1,2,2,1,2,T
4,8,2,2,0,7,1,4,4,6,2,2,5,2,M
3,4,1,1,2,3,1,3,4,4,3,2,1,1,P
4,8,2,2,0,7,1,4,3,4,3,1,4,4,5
4,8,2,2,0,2,2,3,3,3,2,2,3,1,T
3,8,2,2,1,4,1,3,2,5,3,3,3,1,G
3,8,2,2,1,4,1,3,2,3,2,2,3,1,M
3,8,1,2,1,4,1,6,2,4,2,4,3,1,K
3,8,1,2,0,2,1,5,4,6,2,2,3,4,M
3,6,1,1,0,1,1,3,4,5,2,2,1,1,M
4,5,1,2,0,7,2,1,1,5,2,2,5,2,C
4,6,1,1,0,8,1,2,2,4,1,1,2,2,R
4,7,1,1,0,8,1,2,2,3,3,1,2,2,N
4,5,1,1,0,1,1,3,2,3,2,2,1,1,V
3,5,1,1,0,1,1,2,1,4,3,2,1,1,P
3,8,2,4,0,6,1,3,1,1,2,2,3,1,1
1,7,2,2,0,7,2,6,3,4,2,2,4,4,C
5,5,1,1,0,8,1,2,2,2,3,2,2,2,A
4,7,1,2,0,7,1,5,3,4,3,3,4,2,Q
3,7,1,1,2,3,1,6,3,3,4,3,1,4,H
3,4,1,1,0,8,1,5,5,2,1,2,2,2,I
4,5,1,2,0,7,1,5,2,3,1,2,5,2,I
1,8,1,2,1,4,1,5,1,2,2,2,3,1,M
3,8,1,2,0,2,1,6,3,3,2,2,3,1,M
3,5,1,1,0,1,1,5,4,6,2,2,1,2,M
4,5,1,1,1,3,1,5,3,3,3,1,1,4,N
4,7,1,2,0,7,1,6,3,3,3,2,5,2,2
4,2,0,1,0,1,1,6,4,1,3,2,2,4,A
4,8,2,2,0,2,2,3,1,6,2,3,3,3,D
1,8,2,1,0,1,1,2,1,6,2,2,1,1,1
4,8,2,2,0,2,1,5,3,3,3,2,3,4,F
4,3,1,1,0,8,1,5,3,3,5,3,2,2,X
3,8,1,2,0,2,1,5,4,1,2,2,3,2,M
4,4,1,1,0,8,1,5,3,5,4,3,2,4,H
4,6,1,2,0,2,2,5,3,4,5,3,3,4,X
5,5,0,2,0,2,1,3,4,1,2,2,4,1,M
4,8,1,2,0,7,1,6,7,1,2,2,5,2,M
4,8,1,2,0,2,1,6,4,4,3,2,3,4,A
4,6,1,3,1,5,2,3,1,1,3,3,3,1,Q
3,7,1,2,0,7,1,3,5,2,2,2,5,2,V
3,6,2,3,0,6,2,2,1,1,2,2,5,2,E
4,7,2,3,0,6,1,2,2,3,3,3,4,2,G
4,8,1,3,1,5,2,1,1,6,4,4,3,1,3
3,5,1,1,1,3,1,5,2,3,3,1,1,4,N
4,8,1,1,0,1,2,6,3,4,2,2,1,2,1
4,8,0,2,0,2,1,5,4,5,3,2,3,1,P
4,8,2,2,0,2,1,3,1,5,2,2,1,1,V
4,5,1,1,0,8,1,3,1,1,2,3,2,2,D
3,2,1,1,0,1,1,2,2,4,3,2,2,2,B
4,8,1,2,0,7,2,5,1,1,2,3,1,4,D
3,4,1,1,0,1,1,3,2,5,4,2,2,1,S
4,4,0,1,0,8,2,5,5,3,1,2,2,4,I
4,8,1,2,2,4,2,3,1,1,3,3,3,5,G
4,3,1,1,0,1,1,5,2,2,3,1,2,1,N
4,7,1,1,0,8,1,3,5,1,3,1,2,2,5
4,2,1,2,0,7,1,3,2,3,2,2,5,2,C
4,7,1,1,3,3,1,5,2,4,2,3,1,1,D
4,4,1,1,0,8,2,6,3,3,3,3,2,4,Q
1,8,2,2,0,2,2,2,1,1,3,2,4,2,B
5,5,0,2,0,2,1,3,4,1,2,2,4,1,M
3,3,1,2,1,4,1,3,2,3,4,2,2,4,S
4,7,2,1,0,8,1,3,4,4,3,1,1,3,O
3,4,1,1,0,8,2,2,1,5,3,1,2,2,O
3,8,1,2,0,7,2,3,1,1,4,2,5,2,S
4,5,1,1,0,8,1,3,2,5,4,3,2,2,H
4,4,0,1,0,8,1,6,4,1,5,3,2,4,X
3,4,1,1,0,1,1,5,2,3,4,2,1,4,S
3,7,1,1,0,1,1,6,3,4,2,2,1,1,1
3,8,1,1,2,3,1,3,2,6,3,1,1,1,5
3,7,1,1,0,1,1,6,3,4,2,2,1,1,1
5,8,0,2,2,4,1,3,3,5,2,2,3,4,E
4,8,2,3,1,5,1,3,1,4,3,1,3,1,5
3,8,0,2,0,2,1,6,4,1,3,2,3,1,P
4,3,1,1,0,1,2,3,2,2,2,4,1,2,K
3,6,1,1,0,8,1,2,1,4,3,1,2,2,O
4,8,2,2,0,2,2,3,3,3,2,2,3,1,T
3,8,1,2,0,2,1,3,2,2,3,2,3,1,P
3,4,2,2,0,7,2,3,1,5,3,3,5,2,G
4,7,2,2,0,7,1,2,1,6,2,2,4,2,V
2,4,1,2,0,2,1,4,5,1,3,2,4,4,A
3,1,1,2,0,7,1,2,2,3,3,3,5,2,G
4,7,1,1,2,3,1,3,2,3,3,1,1,1,O
3,5,1,1,0,1,1,3,3,6,2,2,1,4,V
4,4,2,2,0,7,1,2,3,1,3,1,5,2,5
4,3,1,2,0,2,1,6,3,4,3,1,1,4,N
1,8,1,2,0,2,1,4,3,4,2,2,3,4,C
3,8,1,2,2,4,2,5,1,1,1,3,3,1,Z
3,3,1,1,0,1,1,5,3,4,5,3,1,2,X
4,8,2,4,0,6,1,1,1,5,5,3,3,2,X
3,8,2,2,1,4,2,2,1,6,3,1,3,1,5
1,7,1,2,0,7,2,3,1,6,2,2,5,2,C
3,7,1,1,0,8,1,3,2,1,2,2,2,2,1
4,7,2,2,0,7,2,3,2,1,3,2,5,1,2
4,6,1,2,0,2,1,3,2,3,3,1,1,4,N
4,8,1,2,0,7,1,3,1,4,2,2,5,2,C
4,1,2,4,0,6,2,2,1,3,1,4,2,2,6
3,4,1,1,1,3,1,5,3,4,2,2,1,4,E
4,3,2,3,0,6,2,3,1,5,1,4,5,2,6
3,7,1,1,0,8,1,3,5,5,1,1,2,2,L
2,8,2,2,0,2,1,5,2,2,3,2,3,1,P
3,8,1,2,0,2,1,3,4,6,2,2,3,1,M
3,5,1,2,0,2,1,2,3,1,2,1,5,2,4
2,8,1,2,0,2,1,2,2,4,2,2,3,1,V
5,6,1,1,1,3,1,5,6,4,3,2,1,4,A
2,8,1,2,1,4,1,5,4,1,3,2,3,4,P
1,8,2,4,0,6,2,3,1,6,5,3,3,1,X
4,5,1,1,0,1,1,4,4,5,3,2,1,1,A
4,6,1,2,0,2,2,5,3,4,5,3,3,4,X
1,8,2,2,1,3,1,5,2,4,3,1,3,2,5
4,5,2,2,0,7,1,1,1,5,2,1,5,2,J
3,8,2,2,3,5,1,3,2,2,3,2,3,1,P
3,3,2,2,0,7,1,5,4,3,3,2,2,2,P
4,8,1,3,1,4,1,3,3,3,2,2,3,1,V
4,4,1,1,1,3,1,6,2,3,4,3,1,1,H
4,6,0,1,0,1,2,3,1,1,3,3,1,2,Q
4,5,1,2,0,7,1,3,3,3,2,4,5,4,K
3,8,2,2,3,5,1,3,2,2,3,2,3,1,P
3,2,0,1,1,3,1,6,6,4,3,2,2,4,P
3,8,2,4,0,6,1,2,1,3,4,2,3,2,S
3,6,1,2,2,3,1,1,1,6,3,2,4,1,A
